('unencumbered', [1.0, 0.0])
('scolded', [0.0, 1.0])
('raptureously', [1.0, 0.0])
('unachievable', [0.0, 1.0])
('disconsolately', [0.0, 1.0])
('busts', [0.0, 1.0])
('jubiliant', [1.0, 0.0])
('peacekeepers', [1.0, 0.0])
('worriedly', [0.0, 1.0])
('staunchness', [1.0, 0.0])
('aloof', [0.0, 1.0])
('hiliarious', [0.0, 1.0])
('despicably', [0.0, 1.0])
('bulkiness', [0.0, 1.0])
('hastily', [0.0, 1.0])
('condemns', [0.0, 1.0])
('unnerving', [0.0, 1.0])
('bugging', [0.0, 1.0])
('mistified', [0.0, 1.0])
('cooperatively', [1.0, 0.0])
('disintegrated', [0.0, 1.0])
('carp', [0.0, 1.0])
('issue-free', [1.0, 0.0])
('disintegrates', [0.0, 1.0])
('bumps', [0.0, 1.0])
('miscreants', [0.0, 1.0])
('complicated', [0.0, 1.0])
('matchless', [1.0, 0.0])
('dehumanization', [0.0, 1.0])
('nightmarish', [0.0, 1.0])
('amiabily', [1.0, 0.0])
('heroize', [1.0, 0.0])
('tangles', [0.0, 1.0])
('imposers', [0.0, 1.0])
('unlicensed', [0.0, 1.0])
('invaluablely', [1.0, 0.0])
('downsides', [0.0, 1.0])
('best-known', [1.0, 0.0])
('brutalize', [0.0, 1.0])
('discontinued', [0.0, 1.0])
('puny', [0.0, 1.0])
('top-heavy', [0.0, 1.0])
('simplifies', [1.0, 0.0])
('impossibly', [0.0, 1.0])
('fleeing', [0.0, 1.0])
('dungeons', [0.0, 1.0])
('scandalized', [0.0, 1.0])
('simplified', [1.0, 0.0])
('punishable', [0.0, 1.0])
('anti-', [0.0, 1.0])
('ill-used', [0.0, 1.0])
('lags', [0.0, 1.0])
('incompetently', [0.0, 1.0])
('wowing', [1.0, 0.0])
('ill-favored', [0.0, 1.0])
('haggle', [0.0, 1.0])
('traction', [1.0, 0.0])
('fortuitous', [1.0, 0.0])
('jutter', [0.0, 1.0])
('unreachable', [0.0, 1.0])
('oversimplified', [0.0, 1.0])
('brainy', [1.0, 0.0])
('impresses', [1.0, 0.0])
('shrouded', [0.0, 1.0])
('appreciates', [1.0, 0.0])
('proving', [1.0, 0.0])
('subpoenas', [0.0, 1.0])
('stylized', [1.0, 0.0])
('err-free', [1.0, 0.0])
('mawkishly', [0.0, 1.0])
('fooled', [0.0, 1.0])
('junkyard', [0.0, 1.0])
('appreciated', [1.0, 0.0])
('set-up', [0.0, 1.0])
('petrified', [0.0, 1.0])
('cracks', [0.0, 1.0])
('dinky', [0.0, 1.0])
('disses', [0.0, 1.0])
('dirt-cheap', [1.0, 0.0])
('thumbs-up', [1.0, 0.0])
('selfishly', [0.0, 1.0])
('righten', [1.0, 0.0])
('dissed', [0.0, 1.0])
('impinge', [0.0, 1.0])
('individualized', [1.0, 0.0])
('dissapointed', [0.0, 1.0])
('disasterous', [0.0, 1.0])
('poeticize', [1.0, 0.0])
('enhanced', [1.0, 0.0])
('swamped', [0.0, 1.0])
('aspersion', [0.0, 1.0])
('first-in-class', [1.0, 0.0])
('crippling', [0.0, 1.0])
('picketing', [0.0, 1.0])
('lurking', [0.0, 1.0])
('fractiously', [0.0, 1.0])
('uproarously', [0.0, 1.0])
('glibly', [0.0, 1.0])
('mispronounces', [0.0, 1.0])
('shocked', [0.0, 1.0])
('rascals', [0.0, 1.0])
('mispronounced', [0.0, 1.0])
('hedonistic', [0.0, 1.0])
('swelled', [0.0, 1.0])
('ironically', [0.0, 1.0])
('time-honored', [1.0, 0.0])
('selfinterested', [0.0, 1.0])
('agilely', [1.0, 0.0])
('infiltrators', [0.0, 1.0])
('spewing', [0.0, 1.0])
('clearer', [1.0, 0.0])
('remunerate', [1.0, 0.0])
('falls', [0.0, 1.0])
('contrasty', [1.0, 0.0])
('expertly', [1.0, 0.0])
('d*mn', [0.0, 1.0])
('complaints', [0.0, 1.0])
('supremely', [1.0, 0.0])
('cleared', [1.0, 0.0])
('well-intentioned', [1.0, 0.0])
('hardships', [0.0, 1.0])
('flawlessly', [1.0, 0.0])
('infections', [0.0, 1.0])
('defeating', [1.0, 0.0])
('jitters', [0.0, 1.0])
('massacres', [0.0, 1.0])
('wreaked', [0.0, 1.0])
('slaves', [0.0, 1.0])
('guiltily', [0.0, 1.0])
('unnervingly', [0.0, 1.0])
('understandable', [1.0, 0.0])
('hestitant', [0.0, 1.0])
('watered-down', [0.0, 1.0])
('wripped', [0.0, 1.0])
('drastically', [0.0, 1.0])
('palatial', [1.0, 0.0])
('disunity', [0.0, 1.0])
('allegations', [0.0, 1.0])
('gratifies', [1.0, 0.0])
('gratified', [1.0, 0.0])
('calumnies', [0.0, 1.0])
('crashing', [0.0, 1.0])
('torturous', [0.0, 1.0])
('downturns', [0.0, 1.0])
('well-wishers', [1.0, 0.0])
('direly', [0.0, 1.0])
('incredulous', [0.0, 1.0])
('disconcerting', [0.0, 1.0])
('unravel', [0.0, 1.0])
('ecstasies', [1.0, 0.0])
('perfidity', [0.0, 1.0])
('godlike', [1.0, 0.0])
('upgradeable', [1.0, 0.0])
('incivility', [0.0, 1.0])
('revolutionized', [1.0, 0.0])
('exellent', [1.0, 0.0])
('freezing', [0.0, 1.0])
('handily', [1.0, 0.0])
('satisfied', [1.0, 0.0])
('loath', [0.0, 1.0])
('lionhearted', [1.0, 0.0])
('sloow', [0.0, 1.0])
('revolutionizes', [1.0, 0.0])
('beseech', [0.0, 1.0])
('unviewable', [0.0, 1.0])
('keenly', [1.0, 0.0])
('topnotch', [1.0, 0.0])
('indeterminably', [0.0, 1.0])
('quarrels', [0.0, 1.0])
('losers', [0.0, 1.0])
('worries', [0.0, 1.0])
('downfallen', [0.0, 1.0])
('enthralled', [1.0, 0.0])
('noisier', [0.0, 1.0])
('uneconomical', [0.0, 1.0])
('fatefully', [0.0, 1.0])
('disquietingly', [0.0, 1.0])
('slashing', [0.0, 1.0])
('underpaid', [0.0, 1.0])
('expeditiously', [1.0, 0.0])
('foresight', [1.0, 0.0])
('fails', [0.0, 1.0])
('inequalities', [0.0, 1.0])
('swankier', [1.0, 0.0])
('kid-friendly', [1.0, 0.0])
('belittled', [0.0, 1.0])
('hiss', [0.0, 1.0])
('simplifying', [1.0, 0.0])
('enjoys', [1.0, 0.0])
('ineloquently', [0.0, 1.0])
('recourses', [0.0, 1.0])
('unappealing', [0.0, 1.0])
('affordable', [1.0, 0.0])
('checkered', [0.0, 1.0])
('rumours', [0.0, 1.0])
('messed', [0.0, 1.0])
('unsecure', [0.0, 1.0])
('disrespectfully', [0.0, 1.0])
('floundering', [0.0, 1.0])
('hurts', [0.0, 1.0])
('affordably', [1.0, 0.0])
('realizable', [1.0, 0.0])
('talented', [1.0, 0.0])
('gimmicky', [0.0, 1.0])
('self-serving', [0.0, 1.0])
('successes', [1.0, 0.0])
('skittishly', [0.0, 1.0])
('inanely', [0.0, 1.0])
('ineptly', [0.0, 1.0])
('awards', [1.0, 0.0])
('vibrantly', [1.0, 0.0])
('provocation', [0.0, 1.0])
('panick', [0.0, 1.0])
('slogged', [0.0, 1.0])
('sensationalize', [0.0, 1.0])
('occludes', [0.0, 1.0])
('disliking', [0.0, 1.0])
('skeletons', [0.0, 1.0])
('runaway', [0.0, 1.0])
('awsome', [1.0, 0.0])
('caricature', [0.0, 1.0])
('undercuts', [0.0, 1.0])
('menacingly', [0.0, 1.0])
('dependably', [1.0, 0.0])
('lame-duck', [0.0, 1.0])
('enflame', [0.0, 1.0])
('needlessly', [0.0, 1.0])
('castrated', [0.0, 1.0])
('stylishly', [1.0, 0.0])
('entranced', [1.0, 0.0])
('craftly', [0.0, 1.0])
('confessions', [0.0, 1.0])
('layoff-happy', [0.0, 1.0])
('sensibly', [1.0, 0.0])
('ruining', [0.0, 1.0])
('messes', [0.0, 1.0])
('vomits', [0.0, 1.0])
('dead-on', [1.0, 0.0])
('jutters', [0.0, 1.0])
('ultra-crisp', [1.0, 0.0])
('proven', [1.0, 0.0])
('dropouts', [0.0, 1.0])
('elatedly', [1.0, 0.0])
('crisper', [1.0, 0.0])
('handicapped', [0.0, 1.0])
('flicering', [0.0, 1.0])
('stupidest', [0.0, 1.0])
('coolest', [1.0, 0.0])
('promised', [1.0, 0.0])
('sub-par', [0.0, 1.0])
('gimmicks', [0.0, 1.0])
('twists', [0.0, 1.0])
('reviled', [0.0, 1.0])
('dubious', [0.0, 1.0])
('inconsequently', [0.0, 1.0])
('motivated', [1.0, 0.0])
('blab', [0.0, 1.0])
('thrills', [1.0, 0.0])
('treacherously', [0.0, 1.0])
('creaks', [0.0, 1.0])
('erroneously', [0.0, 1.0])
('mobster', [0.0, 1.0])
('contortions', [0.0, 1.0])
('anarchistic', [0.0, 1.0])
('struggling', [0.0, 1.0])
('favorited', [1.0, 0.0])
('maturely', [1.0, 0.0])
('infuriatingly', [0.0, 1.0])
('caustically', [0.0, 1.0])
('disadvantaged', [0.0, 1.0])
('protested', [0.0, 1.0])
('disapointing', [0.0, 1.0])
('smelt', [0.0, 1.0])
('stingingly', [0.0, 1.0])
('complained', [0.0, 1.0])
('misdirection', [0.0, 1.0])
('awesomeness', [1.0, 0.0])
('slanders', [0.0, 1.0])
('undefined', [0.0, 1.0])
('bores', [0.0, 1.0])
('amazes', [1.0, 0.0])
('oppositions', [0.0, 1.0])
('stunted', [0.0, 1.0])
('evils', [0.0, 1.0])
('exceled', [1.0, 0.0])
('offensively', [0.0, 1.0])
('flakey', [0.0, 1.0])
('morons', [0.0, 1.0])
('wreaks', [0.0, 1.0])
('manipulation', [0.0, 1.0])
('gooood', [1.0, 0.0])
('teasingly', [0.0, 1.0])
('nicer', [1.0, 0.0])
('renewed', [1.0, 0.0])
('deceiving', [0.0, 1.0])
('adulterated', [0.0, 1.0])
('bullshyt', [0.0, 1.0])
('self-coup', [0.0, 1.0])
('dumbfounding', [1.0, 0.0])
('aborts', [0.0, 1.0])
('complements', [1.0, 0.0])
('struck', [0.0, 1.0])
('peps', [1.0, 0.0])
('subversively', [0.0, 1.0])
('kills', [0.0, 1.0])
('inordinate', [0.0, 1.0])
('detract', [0.0, 1.0])
('confined', [0.0, 1.0])
('disadvantageous', [0.0, 1.0])
('snare', [0.0, 1.0])
('implicate', [0.0, 1.0])
('plusses', [1.0, 0.0])
('paupers', [0.0, 1.0])
('expunge', [0.0, 1.0])
('endorses', [1.0, 0.0])
('undermining', [0.0, 1.0])
('intolerablely', [0.0, 1.0])
('halfheartedly', [0.0, 1.0])
('miraculous', [1.0, 0.0])
('cravenly', [0.0, 1.0])
('substandard', [0.0, 1.0])
('disoobedient', [0.0, 1.0])
('endorsed', [1.0, 0.0])
('well-received', [1.0, 0.0])
('shunned', [0.0, 1.0])
('hysterics', [0.0, 1.0])
('obsessions', [1.0, 0.0])
('smiles', [1.0, 0.0])
('debilitate', [0.0, 1.0])
('hacks', [0.0, 1.0])
('shortcoming', [0.0, 1.0])
('lackeys', [0.0, 1.0])
('redeeming', [1.0, 0.0])
('booming', [1.0, 0.0])
('scandals', [0.0, 1.0])
('titillatingly', [1.0, 0.0])
('dauntingly', [0.0, 1.0])
('beckons', [1.0, 0.0])
('charismatic', [1.0, 0.0])
('moot', [0.0, 1.0])
('unpleasantries', [0.0, 1.0])
('freed', [1.0, 0.0])
('unsuccessfully', [0.0, 1.0])
('biased', [0.0, 1.0])
('throb', [0.0, 1.0])
('aggrieved', [0.0, 1.0])
('strained', [0.0, 1.0])
('poise', [1.0, 0.0])
('imminence', [0.0, 1.0])
('disparaging', [0.0, 1.0])
('uncivilized', [0.0, 1.0])
('biases', [0.0, 1.0])
('trivialize', [0.0, 1.0])
('mightily', [1.0, 0.0])
('finicky', [0.0, 1.0])
('desiccated', [0.0, 1.0])
('baffled', [0.0, 1.0])
('subdued', [0.0, 1.0])
('creaking', [0.0, 1.0])
('insinuating', [0.0, 1.0])
('knave', [0.0, 1.0])
('masterpieces', [1.0, 0.0])
('threesome', [0.0, 1.0])
('delightfulness', [1.0, 0.0])
('nastily', [0.0, 1.0])
('annoyances', [0.0, 1.0])
('perturbed', [0.0, 1.0])
('protests', [0.0, 1.0])
('flawed', [0.0, 1.0])
('acridly', [0.0, 1.0])
('unnerved', [0.0, 1.0])
('sneering', [0.0, 1.0])
('multi-polarization', [0.0, 1.0])
('rockstars', [1.0, 0.0])
('deceivers', [0.0, 1.0])
('annoys', [0.0, 1.0])
('stuttered', [0.0, 1.0])
('calamities', [0.0, 1.0])
('strictly', [0.0, 1.0])
('madden', [0.0, 1.0])
('madder', [0.0, 1.0])
('dislocated', [0.0, 1.0])
('dependable', [1.0, 0.0])
('bull----', [0.0, 1.0])
('overpaid', [0.0, 1.0])
('impeccably', [1.0, 0.0])
('drains', [0.0, 1.0])
('shamelessly', [0.0, 1.0])
('buggy', [0.0, 1.0])
('delayed', [0.0, 1.0])
('shroud', [0.0, 1.0])
('irrationals', [0.0, 1.0])
('ineloquent', [0.0, 1.0])
('impedance', [0.0, 1.0])
('bull****', [0.0, 1.0])
('irreversible', [0.0, 1.0])
('election-rigger', [0.0, 1.0])
('belated', [0.0, 1.0])
('god-given', [1.0, 0.0])
('abused', [0.0, 1.0])
('darken', [0.0, 1.0])
('annihilate', [0.0, 1.0])
('afordable', [1.0, 0.0])
('job-killing', [0.0, 1.0])
('merriness', [1.0, 0.0])
('abuses', [0.0, 1.0])
('ineffectually', [0.0, 1.0])
('self-interested', [0.0, 1.0])
('deadlock', [0.0, 1.0])
('creeping', [0.0, 1.0])
('dirts', [0.0, 1.0])
('stiflingly', [0.0, 1.0])
('grumpily', [0.0, 1.0])
('cringed', [0.0, 1.0])
('accusingly', [0.0, 1.0])
('spendy', [0.0, 1.0])
('ax', [0.0, 1.0])
('cringes', [0.0, 1.0])
('appalling', [0.0, 1.0])
('abyss', [0.0, 1.0])
('onerous', [0.0, 1.0])
('meticulously', [1.0, 0.0])
('oversights', [0.0, 1.0])
('floored', [0.0, 1.0])
('productively', [1.0, 0.0])
('trample', [0.0, 1.0])
('unparalleled', [1.0, 0.0])
('inteferes', [0.0, 1.0])
('starkly', [0.0, 1.0])
('unneeded', [0.0, 1.0])
('dismayed', [0.0, 1.0])
('gaining', [1.0, 0.0])
('meritorious', [1.0, 0.0])
('wieldy', [1.0, 0.0])
('conspiracies', [0.0, 1.0])
('expropriation', [0.0, 1.0])
('refunded', [1.0, 0.0])
('a+', [1.0, 0.0])
('damnably', [0.0, 1.0])
('nonresponsive', [0.0, 1.0])
('despoil', [0.0, 1.0])
('overreach', [0.0, 1.0])
('wounds', [0.0, 1.0])
('staunchly', [1.0, 0.0])
('equitable', [1.0, 0.0])
('imminently', [0.0, 1.0])
('misleadingly', [0.0, 1.0])
('pitifully', [0.0, 1.0])
('disdained', [0.0, 1.0])
('dextrous', [1.0, 0.0])
('snagged', [0.0, 1.0])
('uglier', [0.0, 1.0])
('indiscriminating', [0.0, 1.0])
('villianously', [0.0, 1.0])
('judders', [0.0, 1.0])
('disagreeing', [0.0, 1.0])
('banishment', [0.0, 1.0])
('crumpled', [0.0, 1.0])
('forbidden', [0.0, 1.0])
('scandel', [0.0, 1.0])
('franticly', [0.0, 1.0])
('sunk', [0.0, 1.0])
('crumples', [0.0, 1.0])
('defamations', [0.0, 1.0])
('fastuous', [0.0, 1.0])
('subjected', [0.0, 1.0])
('sparkling', [1.0, 0.0])
('rants', [0.0, 1.0])
('enjoying', [1.0, 0.0])
('problem-solver', [1.0, 0.0])
('thankless', [0.0, 1.0])
('facetious', [0.0, 1.0])
('overdone', [0.0, 1.0])
('fancinating', [1.0, 0.0])
('inflammed', [0.0, 1.0])
('deginified', [1.0, 0.0])
('irksomeness', [0.0, 1.0])
('maladjusted', [0.0, 1.0])
('securely', [1.0, 0.0])
('inpressed', [1.0, 0.0])
('marvellous', [1.0, 0.0])
('shrivel', [0.0, 1.0])
('insufficiently', [0.0, 1.0])
('dodgey', [0.0, 1.0])
('desertion', [0.0, 1.0])
('softer', [1.0, 0.0])
('liars', [0.0, 1.0])
('damper', [0.0, 1.0])
('throbbing', [0.0, 1.0])
('conflicted', [0.0, 1.0])
('quicker', [1.0, 0.0])
('dizzingly', [0.0, 1.0])
('enfeeble', [0.0, 1.0])
('enhancement', [1.0, 0.0])
('enjoin', [0.0, 1.0])
('unorthodoxy', [0.0, 1.0])
('sue', [0.0, 1.0])
('unuseable', [0.0, 1.0])
('pamperedness', [1.0, 0.0])
('disintegration', [0.0, 1.0])
('hallmark', [1.0, 0.0])
('eminent', [1.0, 0.0])
('faltered', [0.0, 1.0])
('disillusions', [0.0, 1.0])
('fave', [1.0, 0.0])
('replaceable', [1.0, 0.0])
('overstatement', [0.0, 1.0])
('extoll', [1.0, 0.0])
('vomiting', [0.0, 1.0])
('decrepitude', [0.0, 1.0])
('tiringly', [0.0, 1.0])
('grudges', [0.0, 1.0])
('outdone', [1.0, 0.0])
('mudslinging', [0.0, 1.0])
('horrifies', [0.0, 1.0])
('unproven', [0.0, 1.0])
('smarter', [1.0, 0.0])
('examplary', [1.0, 0.0])
('losses', [0.0, 1.0])
('over-hyped', [0.0, 1.0])
('unproves', [0.0, 1.0])
('upsettingly', [0.0, 1.0])
('calumniously', [0.0, 1.0])
('prejudge', [0.0, 1.0])
('dissidents', [0.0, 1.0])
('traumatized', [0.0, 1.0])
('hogs', [0.0, 1.0])
('chunky', [0.0, 1.0])
('fatuously', [0.0, 1.0])
('lewdness', [0.0, 1.0])
('slammin', [1.0, 0.0])
('readily', [1.0, 0.0])
('unthinkably', [0.0, 1.0])
('easy-to-use', [1.0, 0.0])
('flaws', [0.0, 1.0])
('tyrannically', [0.0, 1.0])
('wobbled', [0.0, 1.0])
('alarmingly', [0.0, 1.0])
('unjustifiably', [0.0, 1.0])
('wobbles', [0.0, 1.0])
('unthinkable', [0.0, 1.0])
('bumped', [0.0, 1.0])
('handsomely', [1.0, 0.0])
('spoils', [0.0, 1.0])
('dissonantly', [0.0, 1.0])
('spoon-fed', [0.0, 1.0])
('apprehensions', [0.0, 1.0])
('hissed', [0.0, 1.0])
('amputate', [0.0, 1.0])
('disfavor', [0.0, 1.0])
('objections', [0.0, 1.0])
('stupify', [0.0, 1.0])
('flak', [0.0, 1.0])
('lascivious', [0.0, 1.0])
('discordance', [0.0, 1.0])
('sucky', [0.0, 1.0])
('imprecisely', [0.0, 1.0])
('sucks', [0.0, 1.0])
('long-winded', [0.0, 1.0])
('irritations', [0.0, 1.0])
('entrapment', [0.0, 1.0])
('sillily', [0.0, 1.0])
('perverts', [0.0, 1.0])
('scam', [0.0, 1.0])
('grumpish', [0.0, 1.0])
('life-threatening', [0.0, 1.0])
('rejuvenated', [1.0, 0.0])
('gravely', [0.0, 1.0])
('retardedness', [0.0, 1.0])
('dislikes', [0.0, 1.0])
('conspire', [0.0, 1.0])
('painfull', [0.0, 1.0])
('well-behaved', [1.0, 0.0])
('dubiously', [0.0, 1.0])
('fundamentalism', [0.0, 1.0])
('disliked', [0.0, 1.0])
('allege', [0.0, 1.0])
('insignificantly', [0.0, 1.0])
('wisely', [1.0, 0.0])
('drained', [0.0, 1.0])
('sloooooooooooooow', [0.0, 1.0])
('breaking', [0.0, 1.0])
('low-risk', [1.0, 0.0])
('hampered', [0.0, 1.0])
('wiles', [0.0, 1.0])
('steadiest', [1.0, 0.0])
('inconceivably', [0.0, 1.0])
('inflationary', [0.0, 1.0])
('disgraced', [0.0, 1.0])
('malcontented', [0.0, 1.0])
('weaknesses', [0.0, 1.0])
('panoramic', [1.0, 0.0])
('roadblocks', [0.0, 1.0])
('startlingly', [0.0, 1.0])
('inconceivable', [0.0, 1.0])
('authentic', [1.0, 0.0])
('benifits', [1.0, 0.0])
('contrived', [0.0, 1.0])
('shortcomings', [0.0, 1.0])
('crowded', [0.0, 1.0])
('frictions', [0.0, 1.0])
('prefers', [1.0, 0.0])
('bugs', [0.0, 1.0])
('dispensable', [0.0, 1.0])
('bashing', [0.0, 1.0])
('jeering', [0.0, 1.0])
('helplessly', [0.0, 1.0])
('egregiously', [0.0, 1.0])
('uneventful', [0.0, 1.0])
('outrages', [0.0, 1.0])
('stains', [0.0, 1.0])
('oblique', [0.0, 1.0])
('deploring', [0.0, 1.0])
('lewdly', [0.0, 1.0])
('dizzing', [0.0, 1.0])
('sugarcoated', [0.0, 1.0])
('smiling', [1.0, 0.0])
('prevaricate', [0.0, 1.0])
('irreformable', [0.0, 1.0])
('disagreed', [0.0, 1.0])
('repugnantly', [0.0, 1.0])
('jollify', [1.0, 0.0])
('tantalizingly', [1.0, 0.0])
('blurring', [0.0, 1.0])
('symptoms', [0.0, 1.0])
('plotters', [0.0, 1.0])
('misunderstandings', [0.0, 1.0])
('disagrees', [0.0, 1.0])
('flabbergast', [0.0, 1.0])
('finer', [1.0, 0.0])
('tentatively', [0.0, 1.0])
('snobs', [0.0, 1.0])
('egotistically', [0.0, 1.0])
('sucker', [0.0, 1.0])
('tumbles', [0.0, 1.0])
('prejudices', [0.0, 1.0])
('undissolved', [0.0, 1.0])
('imperil', [0.0, 1.0])
('unauthentic', [0.0, 1.0])
('war-like', [0.0, 1.0])
('assuring', [1.0, 0.0])
('sucked', [0.0, 1.0])
('overacted', [0.0, 1.0])
('arduously', [0.0, 1.0])
('inordinately', [0.0, 1.0])
('harboring', [0.0, 1.0])
('predatory', [0.0, 1.0])
('exasperated', [0.0, 1.0])
('engaging', [1.0, 0.0])
('muscle-flexing', [0.0, 1.0])
('backbiting', [0.0, 1.0])
('dubitable', [0.0, 1.0])
('blithe', [1.0, 0.0])
('noiseless', [1.0, 0.0])
('dominates', [1.0, 0.0])
('trusty', [1.0, 0.0])
('ftw', [1.0, 0.0])
('sharpest', [1.0, 0.0])
('disadvantages', [0.0, 1.0])
('expulse', [0.0, 1.0])
('disbeliever', [0.0, 1.0])
('misses', [0.0, 1.0])
('dejectedly', [0.0, 1.0])
('dominated', [1.0, 0.0])
('blundering', [0.0, 1.0])
('snappishly', [0.0, 1.0])
('issue', [0.0, 1.0])
('impudence', [0.0, 1.0])
('rock-stars', [1.0, 0.0])
('disobedience', [0.0, 1.0])
('favored', [1.0, 0.0])
('stridently', [0.0, 1.0])
('bedlam', [0.0, 1.0])
('misstatement', [0.0, 1.0])
('cashbacks', [1.0, 0.0])
('abounds', [1.0, 0.0])
('brightest', [1.0, 0.0])
('geekier', [1.0, 0.0])
('heroic', [1.0, 0.0])
('devilishly', [0.0, 1.0])
('benefits', [1.0, 0.0])
('over-awe', [0.0, 1.0])
('well-made', [1.0, 0.0])
('exaltedly', [1.0, 0.0])
('sensations', [1.0, 0.0])
('cataclysmically', [0.0, 1.0])
('avariciously', [0.0, 1.0])
('neglected', [0.0, 1.0])
('better-than-expected', [1.0, 0.0])
('fallen', [0.0, 1.0])
('traped', [0.0, 1.0])
('indebted', [1.0, 0.0])
('smoother', [1.0, 0.0])
('god-awful', [0.0, 1.0])
('bullies', [0.0, 1.0])
('brutally', [0.0, 1.0])
('well-known', [1.0, 0.0])
('unusably', [0.0, 1.0])
('humourous', [1.0, 0.0])
('scandalously', [0.0, 1.0])
('defects', [0.0, 1.0])
('craps', [0.0, 1.0])
('hatefulness', [0.0, 1.0])
('marvelousness', [1.0, 0.0])
('precariously', [0.0, 1.0])
('scathing', [0.0, 1.0])
('ostracize', [0.0, 1.0])
('mercilessly', [0.0, 1.0])
('smoothes', [1.0, 0.0])
('swipe', [0.0, 1.0])
('2-faces', [0.0, 1.0])
('fatcats', [0.0, 1.0])
('hangs', [0.0, 1.0])
('obtainable', [1.0, 0.0])
('zealot', [0.0, 1.0])
('ingeniously', [1.0, 0.0])
('unimaginably', [0.0, 1.0])
('pains', [0.0, 1.0])
('2-faced', [0.0, 1.0])
('fervidly', [1.0, 0.0])
('record-setting', [1.0, 0.0])
('trapped', [0.0, 1.0])
('fatique', [0.0, 1.0])
('gimmicking', [0.0, 1.0])
('indecisively', [0.0, 1.0])
('depressingly', [0.0, 1.0])
('obstructed', [0.0, 1.0])
('rampant', [0.0, 1.0])
('versatility', [1.0, 0.0])
('second-class', [0.0, 1.0])
('nagging', [0.0, 1.0])
('impersonal', [0.0, 1.0])
('adulation', [1.0, 0.0])
('squeaks', [0.0, 1.0])
('breakups', [0.0, 1.0])
('risks', [0.0, 1.0])
('insulted', [0.0, 1.0])
('battering', [0.0, 1.0])
('abysmally', [0.0, 1.0])
('low-price', [1.0, 0.0])
('phobic', [0.0, 1.0])
('idiotically', [0.0, 1.0])
('swanky', [1.0, 0.0])
('cuplrit', [0.0, 1.0])
('randomly', [0.0, 1.0])
('forgetfully', [0.0, 1.0])
('dissing', [0.0, 1.0])
('douchebags', [0.0, 1.0])
('miraculously', [1.0, 0.0])
('villianous', [0.0, 1.0])
('interferes', [0.0, 1.0])
('freakishly', [0.0, 1.0])
('flares', [0.0, 1.0])
('hell-bent', [0.0, 1.0])
('back-logged', [0.0, 1.0])
('adulatory', [1.0, 0.0])
('ludicrously', [0.0, 1.0])
('disconcerted', [0.0, 1.0])
('state-of-the-art', [1.0, 0.0])
('excels', [1.0, 0.0])
('risk-free', [1.0, 0.0])
('deft', [1.0, 0.0])
('nitpicking', [0.0, 1.0])
('bumping', [0.0, 1.0])
('brainiest', [1.0, 0.0])
('corrupts', [0.0, 1.0])
('preferring', [1.0, 0.0])
('smoulder', [0.0, 1.0])
('heros', [1.0, 0.0])
('slumpping', [0.0, 1.0])
('faithless', [0.0, 1.0])
('waning', [0.0, 1.0])
('satirical', [0.0, 1.0])
('convient', [1.0, 0.0])
('scuffs', [0.0, 1.0])
('dragged', [0.0, 1.0])
('lying', [0.0, 1.0])
('left-leaning', [0.0, 1.0])
('aghast', [0.0, 1.0])
('indecorum', [0.0, 1.0])
('martyrdom-seeking', [0.0, 1.0])
('top-notch', [1.0, 0.0])
('malignant', [0.0, 1.0])
('overwhelmed', [0.0, 1.0])
('ho-hum', [0.0, 1.0])
('attractively', [1.0, 0.0])
('torturously', [0.0, 1.0])
('inadvisably', [0.0, 1.0])
('polemize', [0.0, 1.0])
('failed', [0.0, 1.0])
('idiots', [0.0, 1.0])
('spitefully', [0.0, 1.0])
('shamefulness', [0.0, 1.0])
('repulsiveness', [0.0, 1.0])
('eruptions', [0.0, 1.0])
('credulous', [0.0, 1.0])
('hardened', [0.0, 1.0])
('repulsing', [0.0, 1.0])
('villian', [0.0, 1.0])
('gains', [1.0, 0.0])
('resent', [0.0, 1.0])
('zapped', [0.0, 1.0])
('farcical-yet-provocative', [0.0, 1.0])
('virtuously', [1.0, 0.0])
('squeaky', [0.0, 1.0])
('grievances', [0.0, 1.0])
('progressive', [1.0, 0.0])
('sacrificed', [0.0, 1.0])
('tanked', [0.0, 1.0])
('audiciously', [0.0, 1.0])
('recommendations', [1.0, 0.0])
('hype', [0.0, 1.0])
('unfettered', [1.0, 0.0])
('repulsed', [0.0, 1.0])
('eyecatching', [1.0, 0.0])
('bulky', [0.0, 1.0])
('disparagingly', [0.0, 1.0])
('martyrdom', [0.0, 1.0])
('mischievously', [0.0, 1.0])
('irredeemably', [0.0, 1.0])
('procrastinates', [0.0, 1.0])
('grumpiest', [0.0, 1.0])
('sidetracked', [0.0, 1.0])
('irredeemable', [0.0, 1.0])
('cleverly', [1.0, 0.0])
('sh*t', [0.0, 1.0])
('ill-treatment', [0.0, 1.0])
('threats', [0.0, 1.0])
('unsettling', [0.0, 1.0])
('misalign', [0.0, 1.0])
('inefficacious', [0.0, 1.0])
('quarrellous', [0.0, 1.0])
('rejecting', [0.0, 1.0])
('blurs', [0.0, 1.0])
('back-wood', [0.0, 1.0])
('fans', [1.0, 0.0])
('smuttier', [0.0, 1.0])
('gentlest', [1.0, 0.0])
('incompatibility', [0.0, 1.0])
('downturn', [0.0, 1.0])
('peeled', [0.0, 1.0])
